target,family,feature,provenance,group1,group2,n_group1,n_group2,group1_count,group1_missing,group1_mean,group1_median,group1_min,group1_q1,group1_q3,group1_max,group1_std,group2_count,group2_missing,group2_mean,group2_median,group2_min,group2_q1,group2_q3,group2_max,group2_std,median_difference_group2_minus_group1,hedges_g,rank_biserial_group2_vs_group1,iqr_overlap_ratio,range_overlap_ratio
B,TEMPORAL_MARKET,seg_60_15_open_interest_change,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,-59.9925,39.41,-430.26,-131.36249999999998,110.78,111.47,255.85212113966665,6,0,25.456666666666663,-8.265,-335.09,-56.22,120.02250000000001,413.78,248.61926262191884,-47.675,0.3070541380179275,0.16666666666666674,0.6643196690335541,0.5290744514477986
B,TEMPORAL_MARKET,seg_60_15_price_change_pct,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,0.0305083489,-0.0370336052,-0.1166020215,-0.09052688895,0.08400163265,0.3127026275,0.19528890133143825,6,0,-0.042816241349999985,0.0405912678,-0.5333054085,-0.3170966218,0.23940756130000002,0.325871684,0.3611491875540074,0.077624873,-0.21395318939401986,0.0,0.3136158305725411,0.4996695707410286
B,TEMPORAL_MARKET,seg_60_15_price_close,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,63180.37499999999,63076.45,60180.7,61380.925,64875.9,66387.9,2748.5904840784597,6,0,70688.18333333333,70614.35,62581.8,64055.7,77362.15,78837.7,7804.952449673647,7537.900000000009,1.0602645492482732,0.5,0.05132272400895456,0.2040038591413406
B,TEMPORAL_MARKET,seg_60_15_price_open,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,63164.25,63099.25,59993.1,61371.975,64891.525,66465.4,2838.7853441216707,6,0,70719.7,70395.15,62848.7,64005.925,77255.75,79260.4,7823.337498024738,7295.899999999994,1.0622180776006271,0.5,0.055755007861795984,0.18771182262174763
B,TEMPORAL_MARKET,seg_60_15_rows_expected,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,6,0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,,0.0,1.0,1.0
B,TEMPORAL_MARKET,seg_60_15_rows_used,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,6,0,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,,0.0,1.0,1.0
B,TEMPORAL_MARKET,seg_60_15_total_qty,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,4371.6804999999995,4191.143,832.245,2302.53375,6260.28975,8272.191,3251.5868238662083,6,0,5753.789333333333,3427.7165,473.617,2180.60075,6601.0107499999995,17770.015,6362.549335072873,-763.4265,0.2307577630171155,0.0,0.8953368578932723,0.4301442415929606
B,SIGNAL,signal_delta,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,-30.2575,-47.005,-82.2,-65.565,-11.697500000000002,55.18,60.26974828496742,5,1,18.142000000000003,33.73,-54.59,-49.11,63.17,97.51,67.79115222505072,80.735,0.6652006424847735,0.5,0.29061638249116395,0.6108174280785711
B,SIGNAL,signal_imbalance,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,0.62975,0.6295,0.585,0.60675,0.6525000000000001,0.675,0.03886193510364613,5,1,0.6194000000000001,0.657,0.548,0.56,0.665,0.667,0.05996915874013908,0.02750000000000008,-0.17697942047603202,-0.09999999999999998,0.43571428571428644,0.6456692913385832
B,SIGNAL,signal_poc,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,63325.0,63380.0,60000.0,62092.5,64612.5,66540.0,2713.798076497218,5,1,69114.0,64200.0,62640.0,63970.0,77300.0,77460.0,7569.4636533905095,820.0,0.858855361548554,0.44999999999999996,0.04224889035015617,0.22336769759450173
B,SIGNAL,signal_price,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,62866.1817,62933.636843500004,59364.249945,60888.29493825,64911.52360525,66233.203168,3073.3373833921128,6,0,70798.6927335,71130.3051255,62026.569333,64397.589711500004,77258.795464,79050.0,7817.4979342134575,8196.668281999999,1.1090270266606879,0.5833333333333333,0.03139390227816184,0.21368928403779808
B,SIGNAL,signal_strength,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,0,4,,,,,,,,0,6,,,,,,,,,,,,
B,EXECUTION_GEOMETRY,signal_to_fill_elapsed_seconds,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,40.14436325,17.868650000000002,15.315915,16.935762750000002,41.0772505,109.524238,46.27001356157411,6,0,35.844586166666666,23.191616,8.998326,12.62409325,33.0650775,114.228142,39.68209300789783,5.322965999999997,-0.09187105655651326,-0.08333333333333337,0.566872583182311,0.8952626411510592
B,SIGNAL,signal_volume,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,93.195,89.74000000000001,52.72,74.515,108.42,140.58,36.67042904939438,5,1,99.67999999999999,83.14,50.75,73.65,112.88,177.98,49.118243555729876,-6.6000000000000085,0.13037398011278226,0.0,0.8642620443538112,0.6905604024208128
B,SIGNAL,signal_vwap,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,4,0,63172.0,63162.0,59847.0,61610.25,64723.75,66517.0,2834.515949270116,5,1,68989.4,64232.0,62586.0,63665.0,76991.0,77473.0,7549.547887125427,1070.0,0.8616897840993326,0.5,0.0688360450563204,0.22302280721661183
B,STRUCTURE_ZONES,target_geometry_distance_from_actual_entry_R_approx,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,3,1,-2.7118141473,-2.768550305,-2.9466353874,-2.8575928462,-2.59440352725,-2.4202567495,0.26773655204750124,6,0,-2.2261627743833334,-1.24204201485,-6.5574270395,-2.9541263595,-0.8313902046,-0.0961381682,2.405599571769948,1.5265082901500002,0.21180660924435363,0.33333333333333326,0.12398588413471427,0.08146650743911
B,STRUCTURE_ZONES,target_geometry_distance_from_actual_entry_execution_quote_approx,frozen_raw,MIXED,STRONG_FAVORABLE,4,6,3,1,-1302.6271448354,-1513.7602502596,-1972.5366610492,-1743.1484556544,-967.6723867285001,-421.5845231974,796.7408767167133,6,0,-788.0488492166668,-944.762451345,-1377.5319941875,-973.3278859884499,-530.7880722054999,-85.5898883939,465.43242154445454,568.9977989146,0.7889728025514411,0.5555555555555556,0.004664866435062112,0.5066107241832246
