target_ts,Timestamp,minutes_from_target,Close,VWAP,BuyQty,SellQty,OpenInterest,FundingRate,LiqBuyQty,LiqSellQty,IsSynthetic,delta_1m,vol_1m,price_minus_vwap
2026-04-05 00:46:00,2026-04-05 01:08:00,22,,,0.307230,0.446300,,,,,,-0.139070,,
2026-04-05 00:46:00,2026-04-05 01:09:00,23,,,0.239250,0.733270,,,,,,-0.494020,,
2026-04-05 00:46:00,2026-04-05 01:10:00,24,,,63.683250,2.308950,,,,,,61.374300,,
2026-04-05 00:46:00,2026-04-05 01:11:00,25,,,2.612900,59.862350,,,,,,-57.249450,,
2026-04-05 00:46:00,2026-04-05 01:12:00,26,,,0.431120,0.442720,,,,,,-0.011600,,
2026-04-05 00:46:00,2026-04-05 01:13:00,27,,,0.380480,0.379490,,,,,,0.000990,,
2026-04-05 00:46:00,2026-04-05 01:14:00,28,,,0.516980,0.377360,,,,,,0.139620,,
2026-04-05 00:46:00,2026-04-05 01:15:00,29,,,0.310070,0.269460,,,,,,0.040610,,
2026-04-05 00:46:00,2026-04-05 01:16:00,30,,,0.643430,0.665450,,,,,,-0.022020,,
2026-04-05 01:46:00,2026-04-05 01:16:00,-30,,,0.643430,0.665450,,,,,,-0.022020,,
2026-04-05 01:46:00,2026-04-05 01:17:00,-29,,,0.259720,0.214530,,,,,,0.045190,,
2026-04-05 01:46:00,2026-04-05 01:18:00,-28,,,0.199510,1.816410,,,,,,-1.616900,,
2026-04-05 01:46:00,2026-04-05 01:19:00,-27,,,0.694380,0.175530,,,,,,0.518850,,
2026-04-05 01:46:00,2026-04-05 01:20:00,-26,,,0.349780,4.921190,,,,,,-4.571410,,
2026-04-05 01:46:00,2026-04-05 01:21:00,-25,,,1.942040,0.300120,,,,,,1.641920,,
2026-04-05 01:46:00,2026-04-05 01:22:00,-24,,,4.886610,5.398670,,,,,,-0.512060,,
2026-04-05 01:46:00,2026-04-05 01:23:00,-23,,,0.241510,3.125870,,,,,,-2.884360,,
2026-04-05 01:46:00,2026-04-05 01:24:00,-22,,,0.354920,0.546060,,,,,,-0.191140,,
2026-04-05 01:46:00,2026-04-05 01:25:00,-21,,,0.638750,0.302880,,,,,,0.335870,,
2026-04-05 01:46:00,2026-04-05 01:26:00,-20,,,0.947890,2.078680,,,,,,-1.130790,,
2026-04-05 01:46:00,2026-04-05 01:27:00,-19,,,0.280720,0.736510,,,,,,-0.455790,,
2026-04-05 01:46:00,2026-04-05 01:28:00,-18,,,0.208320,0.379600,,,,,,-0.171280,,
2026-04-05 01:46:00,2026-04-05 01:29:00,-17,,,0.410980,0.223240,,,,,,0.187740,,
2026-04-05 01:46:00,2026-04-05 01:30:00,-16,,,0.558840,0.984550,,,,,,-0.425710,,
2026-04-05 01:46:00,2026-04-05 01:31:00,-15,,,5.863320,0.245350,,,,,,5.617970,,
2026-04-05 01:46:00,2026-04-05 01:32:00,-14,,,0.362740,1.062790,,,,,,-0.700050,,
2026-04-05 01:46:00,2026-04-05 01:33:00,-13,,,0.206290,0.484560,,,,,,-0.278270,,
2026-04-05 01:46:00,2026-04-05 01:34:00,-12,,,0.434500,0.486850,,,,,,-0.052350,,
2026-04-05 01:46:00,2026-04-05 01:35:00,-11,,,0.398990,0.113310,,,,,,0.285680,,
2026-04-05 01:46:00,2026-04-05 01:36:00,-10,,,0.290070,0.413690,,,,,,-0.123620,,
2026-04-05 01:46:00,2026-04-05 01:37:00,-9,,,0.145740,0.259230,,,,,,-0.113490,,
2026-04-05 01:46:00,2026-04-05 01:38:00,-8,,,0.375210,2.584650,,,,,,-2.209440,,
2026-04-05 01:46:00,2026-04-05 01:39:00,-7,,,0.238320,0.197470,,,,,,0.040850,,
2026-04-05 01:46:00,2026-04-05 01:40:00,-6,,,0.246220,0.987170,,,,,,-0.740950,,
2026-04-05 01:46:00,2026-04-05 01:41:00,-5,,,0.301020,1.951380,,,,,,-1.650360,,
2026-04-05 01:46:00,2026-04-05 01:42:00,-4,,,0.260510,0.256870,,,,,,0.003640,,
2026-04-05 01:46:00,2026-04-05 01:43:00,-3,,,0.303260,1.057990,,,,,,-0.754730,,
